Дата,Время,Цена,Изменение (%),Мин,Макс
2025-03-17,10:50:36,65900000,-4.35%,62 600 000,69 100 000
2025-03-17,12:48:16,63100000,-4.25%,59 900 000,66 200 000
2025-03-17,14:50:17,60400000,-4.28%,57 300 000,63 400 000
2025-03-17,16:48:33,57900000,-4.14%,55 000 000,60 700 000
2025-03-17,21:24:01,58300000,+2.28%,55 300 000,61 200 000
2025-03-17,22:50:15,60100000,+3.09%,57 000 000,63 100 000
2025-03-18,00:50:15,61900000,+3%,58 800 000,64 900 000
2025-03-18,04:50:20,64700000,+0.78%,61 400 000,67 900 000
2025-03-18,06:50:16,65700000,+1.55%,62 400 000,68 900 000
2025-03-18,08:50:14,63000000,-4.11%,59 800 000,66 100 000
2025-03-18,10:48:16,60300000,-4.29%,57 200 000,63 300 000
2025-03-18,12:50:15,57800000,-4.15%,54 900 000,60 600 000
2025-03-18,14:50:15,55800000,-3.46%,53 000 000,58 500 000
2025-03-18,16:48:17,53600000,-3.94%,50 900 000,56 200 000
2025-03-18,18:48:33,54200000,+1.12%,51 400 000,56 900 000
